MonthlyIncome,Age,OverTime,TotalWorkingYears,DailyRate,HourlyRate,MonthlyRate,EmployeeNumber,DistanceFromHome,YearsAtCompany,NumCompaniesWorked,PercentSalaryHike,YearsWithCurrManager,EnvironmentSatisfaction,JobRole,Attrition
5993,41,Yes,8,1102,94,19479,1,1,6,8,11,5,Medium,Sales Executive,Yes
5130,49,No,10,279,61,24907,2,8,10,1,23,7,High,Research Scientist,No
2090,37,Yes,7,1373,92,2396,4,2,0,6,15,0,Very High,Laboratory Technician,Yes
2909,33,Yes,8,1392,56,23159,5,3,8,1,11,0,Very High,Research Scientist,No
3468,27,No,6,591,40,16632,7,2,2,9,12,2,Low,Laboratory Technician,No
3068,32,No,8,1005,79,11864,8,2,7,0,13,6,Very High,Laboratory Technician,No
2670,59,Yes,12,1324,81,9964,10,3,1,4,20,0,High,Laboratory Technician,No
2693,30,No,1,1358,67,13335,11,24,1,1,22,0,Very High,Laboratory Technician,No
9526,38,No,10,216,44,8787,12,23,9,0,21,8,Very High,Manufacturing Director,No
5237,36,No,17,1299,94,16577,13,27,7,6,13,7,High,Healthcare Representative,No
2426,35,No,6,809,84,16479,14,16,5,0,13,3,Low,Laboratory Technician,No
4193,29,Yes,10,153,49,12682,15,15,9,0,12,8,Very High,Laboratory Technician,No
2911,31,No,5,670,31,15170,16,26,5,1,17,3,Low,Research Scientist,No
2661,34,No,3,1346,93,8758,18,19,2,0,11,2,Medium,Laboratory Technician,No
2028,28,Yes,6,103,50,12947,19,24,4,5,14,3,High,Laboratory Technician,Yes
9980,29,No,10,1389,51,10195,20,21,10,1,11,8,Medium,Manufacturing Director,No
3298,32,Yes,7,334,80,15053,21,5,6,0,12,5,Low,Research Scientist,No
2935,22,Yes,1,1123,96,7324,22,16,1,1,13,0,Very High,Laboratory Technician,No
15427,53,No,31,1219,78,22021,23,2,25,2,16,7,Low,Manager,No
3944,38,Yes,6,371,45,4306,24,2,3,5,11,2,Very High,Research Scientist,No
4011,24,No,5,673,96,8232,26,11,4,0,18,3,Low,Manufacturing Director,No
3407,36,No,10,1218,82,6986,27,9,5,7,23,3,High,Sales Representative,Yes
11994,34,No,13,419,53,21293,28,7,12,0,11,11,Low,Research Director,No
1232,21,No,0,391,96,19281,30,15,0,1,14,0,High,Research Scientist,No
2960,34,No,8,699,83,17102,31,6,4,2,11,3,Medium,Research Scientist,Yes
19094,53,No,26,1282,58,10735,32,5,14,4,11,8,High,Manager,No
3919,32,Yes,10,1125,72,4681,33,16,10,1,22,7,Medium,Research Scientist,Yes
6825,42,No,10,691,48,21173,35,8,9,0,11,2,High,Sales Executive,No
10248,44,No,24,477,42,2094,36,7,22,3,14,17,Low,Healthcare Representative,No
18947,46,No,22,705,83,22822,38,2,2,3,12,1,Medium,Manager,No
2496,33,No,7,924,78,6670,39,2,1,4,11,0,High,Laboratory Technician,No
6465,44,Yes,9,1459,41,19121,40,10,4,2,13,3,Very High,Healthcare Representative,No
2206,30,No,10,125,83,16117,41,9,10,1,13,8,Very High,Laboratory Technician,No
2086,39,No,19,895,56,3335,42,5,1,3,14,0,Very High,Sales Representative,Yes
2293,24,Yes,6,813,61,3020,45,1,2,2,16,0,Medium,Research Scientist,Yes
2645,43,No,6,1273,72,21923,46,2,5,1,12,4,Very High,Research Scientist,No
2683,50,Yes,3,869,86,3810,47,3,3,1,14,2,Low,Sales Representative,Yes
2014,35,No,2,890,97,9687,49,2,2,1,13,2,Very High,Sales Representative,No
3419,36,Yes,6,852,82,13072,51,5,1,9,14,0,Medium,Research Scientist,No
5376,33,No,10,1141,42,3193,52,1,5,2,19,3,High,Sales Executive,No
1951,35,No,1,464,75,10910,53,4,1,1,12,0,High,Laboratory Technician,No
2341,27,No,1,1240,33,19715,54,2,1,1,13,0,Very High,Laboratory Technician,No
2293,26,No,1,1357,48,10558,55,25,1,1,12,1,Low,Laboratory Technician,Yes
8726,27,No,9,994,37,2975,56,8,9,1,15,7,Very High,Sales Executive,No
4011,30,No,12,721,58,10781,57,1,12,1,23,7,High,Laboratory Technician,No
19545,41,No,23,1360,49,16280,58,12,22,1,12,8,Medium,Research Director,Yes
4568,34,No,10,1065,72,10034,60,23,9,0,20,7,Medium,Sales Executive,No
3022,37,No,8,408,73,10227,61,19,1,4,21,0,Medium,Research Scientist,No
5772,46,Yes,14,1211,98,20445,62,5,9,4,21,8,Low,Sales Executive,No
2269,35,No,1,1229,36,4892,63,8,1,1,19,1,Very High,Laboratory Technician,No
5381,48,Yes,23,626,98,19294,64,1,1,9,13,0,Low,Laboratory Technician,Yes
3441,28,Yes,2,1434,50,11179,65,5,2,1,13,2,High,Laboratory Technician,Yes
5454,44,Yes,9,1488,75,4009,68,1,4,5,21,3,Medium,Sales Executive,No
9884,35,Yes,10,1097,79,8302,70,11,4,2,13,3,High,Healthcare Representative,No
4157,26,Yes,5,1443,47,21436,72,23,2,7,19,0,High,Sales Executive,No
13458,33,Yes,15,515,98,15146,73,1,15,1,12,12,Low,Research Director,No
9069,35,No,9,853,71,11031,74,18,9,1,22,8,Medium,Sales Executive,No
4014,35,Yes,4,1142,30,16002,75,23,2,3,15,2,High,Laboratory Technician,No
5915,31,No,10,655,48,9528,76,7,7,3,22,7,Very High,Laboratory Technician,No
5993,37,No,7,1115,51,2689,77,1,7,1,18,7,Low,Manufacturing Director,No
6162,32,Yes,9,427,33,10877,78,1,9,1,22,8,Low,Manufacturing Director,No
2406,38,No,10,653,50,5456,79,29,10,1,11,9,Very High,Laboratory Technician,No
18740,50,Yes,29,989,43,16701,80,7,27,5,12,8,Medium,Research Director,No
7637,59,No,28,1435,99,2354,81,25,21,7,11,9,Low,Sales Executive,No
10096,36,No,17,1223,59,8202,83,8,17,1,13,8,High,Healthcare Representative,No
14756,55,Yes,21,836,33,19730,84,8,5,2,14,2,Very High,Manager,No
6499,36,No,6,1195,95,22656,85,11,6,1,13,3,Medium,Manufacturing Director,No
9724,45,No,25,1339,59,18787,86,7,1,2,17,0,Medium,Research Scientist,No
2194,35,No,5,664,79,5868,88,1,3,4,13,2,Medium,Research Scientist,No
3388,36,Yes,2,318,79,21777,90,9,1,0,17,0,Very High,Research Scientist,Yes
5473,59,No,20,1225,57,24668,91,1,4,7,11,3,Low,Sales Executive,No
2703,29,No,6,1328,76,4956,94,2,5,0,23,4,High,Research Scientist,No
2501,31,No,1,1082,87,18775,95,1,1,1,17,0,High,Research Scientist,No
6220,32,No,10,548,66,7346,96,1,10,1,17,9,Medium,Research Scientist,No
3038,36,No,5,132,55,22002,97,6,1,3,12,0,Medium,Laboratory Technician,No
4424,31,No,11,746,61,20682,98,8,11,1,23,8,High,Manufacturing Director,No
4312,35,No,16,776,32,23016,100,1,15,0,14,8,High,Sales Executive,No
13245,45,Yes,17,193,52,15067,101,6,0,4,14,0,Very High,Research Director,No
13664,37,No,16,397,30,25258,102,7,5,4,13,2,Low,Research Director,No
5021,46,Yes,16,945,80,10425,103,5,4,8,22,2,Medium,Human Resources,No
5126,30,Yes,10,852,55,15998,104,1,10,1,12,0,Very High,Laboratory Technician,No
2859,35,No,6,1214,30,26278,105,1,6,1,18,4,Medium,Research Scientist,No
10239,55,No,24,111,70,18092,106,1,1,3,14,0,Low,Sales Executive,No
5329,38,Yes,17,573,79,15717,107,6,13,7,12,9,Medium,Research Scientist,No
4325,34,No,5,1153,94,17736,110,1,5,1,15,3,Low,Manufacturing Director,No
7260,56,No,37,1400,49,21698,112,7,6,4,11,2,Very High,Manufacturing Director,No
2322,23,No,3,541,62,9518,113,2,0,3,13,0,High,Sales Representative,No
2075,51,No,10,432,96,18725,116,9,4,3,23,3,Very High,Laboratory Technician,No
4152,30,No,11,288,99,15830,117,2,11,1,19,8,High,Healthcare Representative,No
9619,46,No,9,669,64,13596,118,9,9,1,16,7,High,Sales Executive,Yes
13503,40,No,22,530,78,14115,119,1,22,1,22,11,High,Healthcare Representative,No
5441,51,Yes,11,632,71,8423,120,21,10,0,22,0,High,Sales Executive,No
5209,30,Yes,11,1334,63,19760,121,4,11,1,12,7,High,Sales Executive,No
10673,46,Yes,21,638,40,3142,124,1,10,2,13,5,High,Healthcare Representative,No
5010,32,No,12,1093,87,24301,125,6,11,1,16,7,Medium,Sales Executive,No
13549,54,No,16,1217,60,24001,126,2,4,9,12,3,Low,Research Director,No
4999,24,No,4,1353,33,17519,128,3,3,0,21,2,Low,Sales Executive,No
4221,28,No,5,120,43,8863,129,4,5,1,15,4,Medium,Sales Executive,No
13872,58,No,38,682,37,24409,131,10,37,0,13,8,Very High,Sales Executive,No
2042,44,No,17,489,67,25043,132,23,3,4,12,2,Medium,Laboratory Technician,No
2073,37,Yes,7,807,63,23648,133,6,3,4,22,2,High,Human Resources,Yes
2956,32,No,1,827,71,15178,134,1,1,1,13,0,Very High,Research Scientist,No
2926,20,Yes,1,871,66,19783,137,6,1,1,18,0,Very High,Laboratory Technician,Yes
4809,34,No,16,665,41,12482,138,6,16,1,14,10,Low,Research Scientist,No
5163,37,No,17,1040,100,15850,139,2,1,5,14,0,High,Healthcare Representative,No
18844,59,No,30,1420,32,21922,140,2,3,9,21,2,High,Manager,No
18172,50,Yes,28,1115,73,9755,141,1,8,3,19,7,Low,Research Director,No
5744,25,Yes,6,240,46,26959,142,5,6,1,11,3,High,Sales Executive,Yes
2889,25,No,2,1280,64,26897,143,7,2,1,11,1,Very High,Research Scientist,No
